stt,Vaccine,TR1,TR2,TR3,TR4,TR5,TR6,PRC1,PRC2,PRC3,PRC4,PRC5,PRC6,PV1,PV2,PV3,PV4,PV5,PV6,SO1,SO2,SO3,SN1,SN2,SN3,INT1,INT2,INT3,GENDER,AGE,JOB,EDU,INCOME,,,,,,,
125,4,5,5,5,5,5,5,5,5,3,5,1,5,5,5,5,5,5,5,3,1,5,5,5,5,1,5,5,1,1,3,1,2,,,,,,,
126,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,5,5,5,4,4,5,4,5,5,1,2,1,2,4,,,,,,,
127,4,5,5,5,5,5,4,4,4,2,4,5,4,5,5,5,5,5,5,3,3,3,2,2,1,3,5,5,0,1,1,2,2,,,,,,,
128,1,5,5,5,5,4,5,5,5,5,4,3,3,5,5,5,5,5,5,3,2,3,1,1,1,5,5,5,1,1,1,2,2,,,,,,,
129,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,2,2,,,,,,,
130,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,2,2,,,,,,,
131,2,5,4,5,4,3,5,5,5,5,4,3,3,4,5,5,5,4,5,3,2,4,3,3,3,5,5,5,0,1,1,2,2,,,,,,,
132,1,5,5,5,5,4,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,0,1,1,2,2,,,,,,,
133,2,5,4,3,4,3,5,1,4,2,4,3,3,5,5,5,5,5,5,5,3,4,4,3,1,1,5,5,1,1,5,2,2,,,,,,,
134,2,5,4,5,4,4,4,4,4,5,4,4,4,5,4,5,5,5,5,5,4,4,5,4,5,5,4,5,0,2,5,3,4,,,,,,,
135,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,1,1,1,,,,,,,
136,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,0,2,3,2,1,,,,,,,
137,2,3,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,0,2,3,2,3,,,,,,,
138,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,4,4,4,4,4,0,2,3,2,1,,,,,,,
139,4,5,5,5,5,5,5,5,4,4,3,2,2,4,3,5,5,5,5,5,3,4,5,5,2,3,5,5,1,1,5,3,4,,,,,,,
140,2,5,5,4,5,4,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,3,3,2,4,,,,,,,
141,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,1,1,1,2,2,,,,,,,
142,1,3,4,4,4,4,5,3,4,2,2,1,1,4,3,4,4,4,5,5,5,5,4,4,3,1,5,5,1,1,1,2,4,,,,,,,
143,1,3,4,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,5,2,2,,,,,,,
144,1,5,3,4,4,5,3,5,4,4,4,3,3,4,3,4,4,4,5,4,4,3,3,3,3,5,4,4,0,1,1,2,2,,,,,,,
